"institution","collection","recordsets","recordsetQuery","institution_code","collection_code","collection_uuid","collection_lsid","collection_url","collection_catalog_url","description","descriptionForSpecialists","cataloguedSpecimens","knownToContainTypes","taxonCoverage","geographic_range","collectionExtent","contact","contact_role","contact_email","mailing_address","mailing_city","mailing_state","mailing_zip","physical_address","physical_city","physical_state","physical_zip","UniqueNameUUID","attributionLogoURL","providerManagedID","derivedFrom","sameAs","flags","portalDisplay","lat","lon"
"University of South Carolina Salkehatchie","Herbarium","50ca2a08-0e76-4f56-9976-d344dd201a9b","{""recordset"":""50ca2a08-0e76-4f56-9976-d344dd201a9b""}","SALK<IH>","","urn:uuid:001c5234-048b-11e5-b0ee-002315492bbc","","http://herbarium.biol.sc.edu/floracaroliniana/collections/index.php","","The collection is composed primarily of graminoid, forb, and seedless vascular plant species from each physiographic province in South Carolina, with a minor component of specimens from Western North Carolina. The focus region of the collection includes the South Carolina counties bordering the Salkehatchie River watershed (Allendale, Barnwell, Bamberg, Colleton, and Hampton Counties). The collection includes specimens from 1996 to present.","",800,NA,"The collection is composed primarily of graminoid, forb, and seedless vascular plant species from each physiographic province in South Carolina, with a minor component of specimens from Western North Carolina.","The focus region of the collection includes the South Carolina counties bordering the Salkehatchie River watershed (Allendale, Barnwell, Bamberg, Colleton, and Hampton Counties). The collection includes specimens from 1996 to present.","800","Eran S. Kilpatrick","Curator","erankil@mailbox.sc.edu","807 Hampton St.","Walterboro","South Carolina","29488","807 Hampton St.","Walterboro","South Carolina","29488","urn:uuid:2657bc25-1383-467a-a68a-263854514a5f","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=243623","","",33.0802,-81.1871
"Corpus Christi Museum of Science & History","Entomology","","","","","urn:uuid:001ca9ae-a3eb-4a5b-a058-09d7e46f8dd2","","","","","",6455,NA,"","","","Jen McCollough","Collections manager","jenniferm2@ccmuseum.com","","","","","1900 N. Chaparral St.","Corpus Christi","TX","78401","","","","","","","",27.8101,-97.3953
"University of Delaware","Insects","2c662e9e-cdc6-4bbf-93a5-1566ceca1af3, 5975bbda-cd92-4084-8a09-ce1e28e6164f","[{""recordset"":""2c662e9e-cdc6-4bbf-93a5-1566ceca1af3""},{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""udcc""}]","UD","UDCC","urn:uuid:002a70a8-ff18-11e4-9eb2-002315492bbc","http://grbio.org/cool/jwkg-m8hx","","","Hemiptera: Auchenorrhyncha; also biting flies, Hydrophilidae, Formicidae, bees, reasonable collections of Heteroptera and Coleoptera; mostly pinned material Primarily Mid-Atlantic states, but diverse holdings from elsewhere","",NA,NA,"Hemiptera: Auchenorrhyncha; also biting flies, Hydrophilidae, Formicidae, bees, reasonable collections of Heteroptera and Coleoptera; mostly pinned material","Primarily Mid-Atlantic states, but diverse holdings from elsewhere","","Charles R. Bartlett","Collection Manager","Bartlett@udel.edu","531 S College Ave., 250 Townsend Hall","Newark","Delaware","19716","531 S College Ave., 250 Townsend Hall","Newark","Delaware","19716","urn:uuid:85917719-7ef7-4a56-961b-73f33a30d78a","","","","","","",39.6697,-75.7529
"Saint Norbert College","Herbarium","","","SNC<IH>","","urn:uuid:0067b212-72bd-4baa-b206-2f387e72051f","urn:lsid:biocol.org:col:13971","","","","",NA,NA,"","","Approximately 20,000 specimens","Larry Scheich","Professor of Chemistry","larry.scheich@snc.edu","Natural Sciences Division","De Pere","Wisconsin","54115","","De Pere","Wisconsin","54115","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125847","","",44.4489,-88.0604
"Dickinson State University","Herbarium","6226705f-4867-464d-9fab-4e81ecee731f","{""recordset"":""6226705f-4867-464d-9fab-4e81ecee731f""}","DSUND","","urn:uuid:0068cb01-fba5-4173-8616-2ff59d8240a0","","","","","",NA,NA,"","","","Craig W. Whippo","Curator","craig.whippo@dickinsonstate.edu","219 Campus Drive","Dickinson","North Dakota","58601","219 Campus Drive","Dickinson","North Dakota","58601","","","","","","","",46.8817,-102.8002
"Ohio State University, Museum of Biological Diversity","Tetrapods, Mammals","b5d8168e-c310-4870-aa88-eeb3c25256fd","{""recordset"":""b5d8168e-c310-4870-aa88-eeb3c25256fd""}","OSU","","urn:uuid:0072bfb8-1f2b-46e8-bd2c-38d0a451793f","","http://tetrapods.osu.edu/","http://tetrapods.osu.edu/database","","",NA,NA,"","","","Angelika Nelson","Curator","nelson.794@osu.edu","1315 Kinnear Road","Columbus","Ohio","43212","","Columbus","Ohio","43212","urn:uuid:5f0e4e8a-184f-49fb-95b5-09af872598f2","","","","","","",39.9871,-83.0428
"Maize Genetics Cooperation - Stock Center","","","","GSZE","","urn:uuid:009cd30e-4016-428d-82ce-a3660d42ed93","","http://maizecoop.cropsci.uiuc.edu/","http://www.maizegdb.org/data_center/stock","It's all maize mutants (Zea mays mays L)","",NA,NA,"It's all maize mutants (Zea mays mays L)","","","Marty Sachs","Director","msachs@uiuc.edu","USDA/ARS","Urbana","Illinois","61801","USDA/ARS","Urbana","Illinois","61801","","","","","","","",40.109,-88.211
"University of Kansas, Biodiversity Institute and Natural History Museum","Parasitology","","","KU","","urn:uuid:00bd8325-5240-4c68-a164-ece0223ba73b","","http://parasitology.biodiversity.ku.edu/","","","",NA,NA,"","","","Kirsten Jensen","Curator","jensen@ku.edu","Natural History Museum, 1345 Jayhawk Boulevard","Lawrence","Kansas","66045","Natural History Museum, 1345 Jayhawk Boulevard","Lawrence","Kansas","66045","urn:uuid:356736e8-9e70-4516-bf04-1ad72ca6604f","","","","","","",38.9574,-95.2459
"Purdue University, The Ralph M. Kriebel Herbarium","Herbarium","","","PUL<IH>","","urn:uuid:010ef0d2-fe1b-4508-b68c-11574185f274","urn:lsid:biocol.org:col:15199","https://ag.purdue.edu/btny/Herbaria/Pages/kriebel.aspx","","broad, including fungi (excepting rust fungi), lichens, bryophytes, and vascular plants although the majority of collections are vascular plants. emphasis on vascular plants from Indiana and the Midwest and neotropical fungi.","",NA,NA,"broad, including fungi (excepting rust fungi), lichens, bryophytes, and vascular plants although the majority of collections are vascular plants.","emphasis on vascular plants from Indiana and the Midwest and neotropical fungi.","","Mary Catherine Aime","Director","maime@purdue.edu","Department of Botany and Plant Pathology, 915 West State Street","West Lafayette","Indiana","47907-2054","G-447, 915 W Street","West Lafayette","Indiana","47907-2054","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125735","","",40.4249,-86.9162
"University of Vermont, Zadock Thompson Zoological Collection-Invertebrates","Invertebrates","96588aed-3b7a-4179-b92b-2159427f4fcb","{""recordset"":""96588aed-3b7a-4179-b92b-2159427f4fcb""}","UVM","VTZT","urn:uuid:013b0343-08e5-486a-9dcc-f45454536727","","http://www.uvm.edu/~rtbell/Invertebrates.html","","","",NA,NA,"","","","Sohath Z. Yusseff Vanegas","Invertebrate curator technician","syusseff@uvm.edu","27 Colchester Ave","Burlington","Vermont","04405-0000","27 Colchester Ave","Burlington","Vermont","04405-0000","urn:uuid:31ba7aa4-687c-4617-a648-28d0839a1271","","","","","","",44.4805,-73.1996
